identification,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Location
6000964,HP100040,1/1/08 0:15,002XX E GARFIELD BLVD,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,APARTMENT,TRUE,FALSE,232,2,3,40,15,1178732,1868638,2008,1/9/08 1:04,"(41.79484282282302, -87.62012180460704)"
6065811,HP101817,1/2/08 2:16,002XX E HURON ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,HOSPITAL BUILDING/GROUNDS,TRUE,FALSE,1834,18,42,8,26,1178291,1905099,2008,2/10/08 1:05,"(41.89490439892235, -87.62062938864942)"
6000353,HP100439,1/1/08 5:00,002XX E HURON ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,HOSPITAL BUILDING/GROUNDS,FALSE,TRUE,1834,18,42,8,08B,1178235,1905097,2008,1/11/08 1:05,"(41.89490018712302, -87.62083511979809)"
6411689,HP495813,1/1/08 10:00,002XX E OHIO ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,FALSE,1834,18,42,8,26,1177895,1904204,2008,10/8/08 1:04,"(41.8924574937604, -87.62211101815976)"
6000220,HP100790,1/1/08 5:00,002XX E SUPERIOR ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,FALSE,TRUE,1834,18,42,8,08B,1178062,1905375,2008,1/12/08 1:05,"(41.895666972503115, -87.62146202224424)"
6012674,HP101578,1/1/08 21:50,002XX N CICERO AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,FALSE,FALSE,1532,15,28,25,18,1144288,1901420,2008,1/13/08 1:05,"(41.885515969624386, -87.74560642512489)"
5996134,HP102346,1/1/08 18:30,002XX N CLINTON ST,820,THEFT,$300 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1212,12,42,28,6,1172639,1902020,2008,1/6/08 1:05,"(41.886582394657516, -87.64147862936551)"
5992080,HP101509,1/1/08 9:00,002XX N CLINTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1212,12,42,28,14,1172639,1902020,2008,1/6/08 1:05,"(41.886582394657516, -87.64147862936551)"
6388248,HP473388,1/1/08 0:05,002XX N KOLIN AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1114,11,28,26,6,1147314,1900914,2008,8/14/08 1:04,"(41.884070040402136, -87.7345072258614)"
5991665,HP100514,1/1/08 6:44,002XX N LA CROSSE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1532,15,28,25,08B,1143965,1901069,2008,1/7/08 1:04,"(41.88455884801956, -87.7468013667881)"
5994889,HP100957,1/1/08 13:35,002XX N LAPORTE AVE,2022,NARCOTICS,POSS: COCAINE,SIDEWALK,TRUE,FALSE,1532,15,28,25,18,1143299,1901053,2008,1/23/08 14:56,"(41.884527407089536, -87.7492474396514)"
