Year,Month,Value
1815,Feb,37
1815,Mar,49
1815,Apr,36
1815,May,33
1815,Jun,86
1815,Jul,34
1815,Aug,16
1815,Sep,35
1815,Oct,68
1815,Nov,43
1815,Dec,54
1816,Jan,59
1816,Feb,7
1816,Mar,52
1816,Apr,15
1816,May,44
1816,Jun,59
1816,Jul,104
1816,Aug,54
1816,Sep,69
1816,Oct,23
1816,Nov,48
1816,Dec,97
1817,Jan,45
1817,Feb,25
1817,Mar,52
1817,Apr,2
1817,May,69
1817,Jun,104
1817,Jul,63
1817,Aug,59
1817,Sep,68
1817,Oct,62
1817,Nov,21
1817,Dec,66
1818,Jan,52
1818,Feb,54
1818,Mar,82
1818,Apr,71
1818,May,49
1818,Jun,24
1818,Jul,18
1818,Aug,29
1818,Sep,59
1818,Oct,16
1818,Nov,40
1818,Dec,15
1819,Jan,38
1819,Feb,61
1819,Mar,25
1819,Apr,27
1819,May,84
1819,Jun,52
1819,Jul,92
1819,Aug,69
1819,Sep,28
1819,Oct,63
1819,Nov,78
1819,Dec,73
1820,Jan,42
1820,Feb,30
1820,Mar,20
1820,Apr,23
1820,May,91
1820,Jun,32
1820,Jul,16
1820,Aug,50
1820,Sep,38
1820,Oct,60
1820,Nov,9
1820,Dec,18
1821,Jan,61
1821,Feb,5
1821,Mar,79
1821,Apr,77
1821,May,50
1821,Jun,46
1821,Jul,56
1821,Aug,47
1821,Sep,84
1821,Oct,38
